MBL,sv_addr,aerial_addr,AERIAL_Driveway,GSV_Driveway,final_label,three_class_label,aerial_filename,gsv_filename
72-C-11,"1 ALDERSEY ST, Somerville, MA",1 ALDERSEY ST,1.0,2.0,0.9,1,1_aldersey_st_aerial.png,1_aldersey_st.jpg
91-D-18,"1 ARLINGTON ST, Somerville, MA",1 ARLINGTON ST,0.0,0.0,0.0,0,1_arlington_st_aerial.png,1_arlington_st.jpg
76-E-9,"1 BEACON ST, Somerville, MA",1 BEACON ST,1.0,1.0,1.0,1,1_beacon_st_aerial.png,1_beacon_st.jpg
2-A-33,"1 CAPEN CT, Somerville, MA",1 CAPEN CT,1.0,1.0,1.0,1,1_capen_ct_aerial.png,1_capen_ct.jpg
53-D-16,"1 ELIOT ST, Somerville, MA",1 ELIOT ST,0.0,0.0,0.0,0,1_eliot_st_aerial.png,1_eliot_st.jpg
75-C-2,"1 FREMONT AVE, Somerville, MA",1 FREMONT AVE,2.0,0.0,0.1,0,1_fremont_ave_aerial.png,1_fremont_ave.jpg
44-B-7,"1 HARVARD PL, Somerville, MA",1 HARVARD PL,1.0,2.0,0.9,1,1_harvard_pl_aerial.png,1_harvard_pl.jpg
73-E-11,"1 HOMER SQ, Somerville, MA",1 HOMER SQ,1.0,1.0,1.0,1,1_homer_sq_aerial.png,1_homer_sq.jpg
38-F-11,"1 KIMBALL ST, Somerville, MA",1 KIMBALL ST,2.0,2.0,0.5,2,1_kimball_st_aerial.png,1_kimball_st.jpg
62-C-13,"1 LAWSON TERR, Somerville, MA",1 LAWSON TER,2.0,2.0,0.5,2,1_lawson_ter_aerial.png,1_lawson_terr.jpg
95-A-3,"1 LINDEN ST, Somerville, MA",1 LINDEN ST,2.0,0.0,0.1,0,1_linden_st_aerial.png,1_linden_st.jpg
74-E-16,"1 OLIVE SQ, Somerville, MA",1 OLIVE SQ,1.0,2.0,0.9,1,1_olive_sq_aerial.png,1_olive_sq.jpg
52-G-19,"1 PARK PL, Somerville, MA",1 PARK PL,1.0,2.0,0.9,1,1_park_pl_aerial.png,1_park_pl.jpg
62-B-1,"1 PRESCOTT ST, Somerville, MA",1 PRESCOTT ST,1.0,1.0,1.0,1,1_prescott_st_aerial.png,1_prescott_st.jpg
105-D-17,"1 WASHINGTON ST, Somerville, MA",1 WASHINGTON ST,1.0,1.0,1.0,1,1_washington_st_aerial.png,1_washington_st.jpg
91-B-14,"1 WEBSTER ST, Somerville, MA",1 WEBSTER ST,1.0,1.0,1.0,1,1_webster_st_aerial.png,1_webster_st.jpg
36-C-24,"1 WILLIAMS CT, Somerville, MA",1 WILLIAMS CT,1.0,2.0,0.9,1,1_williams_ct_aerial.png,1_williams_ct.jpg
45-B-12,"10 ALLEN CT, Somerville, MA",10 ALLEN CT,1.0,1.0,1.0,1,10_allen_ct_aerial.png,10_allen_ct.jpg
92-I-9,"10 AUBURN AVE, Somerville, MA",10 AUBURN AVE,1.0,1.0,1.0,1,10_auburn_ave_aerial.png,10_auburn_ave.jpg
44-H-7,"10 BEECH ST, Somerville, MA",10 BEECH ST,1.0,2.0,0.9,1,10_beech_st_aerial.png,10_beech_st.jpg
44-A-47,"10 BELMONT PL, Somerville, MA",10 BELMONT PL,1.0,1.0,1.0,1,10_belmont_pl_aerial.png,10_belmont_pl.jpg
91-D-9,"10 BROADWAY PL, Somerville, MA",10 BROADWAY PL,1.0,2.0,0.9,1,10_broadway_pl_aerial.png,10_broadway_pl.jpg
74-B-36,"10 CARLTON ST, Somerville, MA",10 CARLTON ST,2.0,2.0,0.5,2,10_carlton_st_aerial.png,10_carlton_st.jpg
52-H-10,"10 CARTER TERR, Somerville, MA",10 CARTER TER,1.0,1.0,1.0,1,10_carter_ter_aerial.png,10_carter_terr.jpg
75-E-13,"2 ADRIAN ST, Somerville, MA",2 ADRIAN ST,1.0,2.0,0.9,1,2_adrian_st_aerial.png,2_adrian_st.jpg
93-D-2,"2 ALSTON ST, Somerville, MA",2 ALSTON ST,1.0,1.0,1.0,1,2_alston_st_aerial.png,2_alston_st.jpg
38-E-46,"2 BELMONT ST, Somerville, MA",2 BELMONT ST,1.0,1.0,1.0,1,2_belmont_st_aerial.png,2_belmont_st.jpg
44-A-27,"2 BELMONT TERR, Somerville, MA",2 BELMONT TER,1.0,1.0,1.0,1,2_belmont_ter_aerial.png,2_belmont_terr.jpg
43-C-19,"2 BENTON RD, Somerville, MA",2 BENTON RD,1.0,1.0,1.0,1,2_benton_rd_aerial.png,2_benton_rd.jpg
80-G-1,"2 BIGELOW ST, Somerville, MA",2 BIGELOW ST,1.0,1.0,1.0,1,2_bigelow_st_aerial.png,2_bigelow_st.jpg
16-D-21,"2 BILLINGHAM ST, Somerville, MA",2 BILLINGHAM ST,1.0,1.0,1.0,1,2_billingham_st_aerial.png,2_billingham_st.jpg
54-F-7,"2 ELIOT ST, Somerville, MA",2 ELIOT ST,0.0,1.0,0.9,2,2_eliot_st_aerial.png,2_eliot_st.jpg
82-G-7,"2 EMERSON ST, Somerville, MA",2 EMERSON ST,1.0,2.0,0.9,1,2_emerson_st_aerial.png,2_emerson_st.jpg
73-E-12,"2 HOMER SQ, Somerville, MA",2 HOMER SQ,2.0,2.0,0.5,2,2_homer_sq_aerial.png,2_homer_sq.jpg
39-C-18,"2 KENT CT, Somerville, MA",2 KENT CT,1.0,1.0,1.0,1,2_kent_ct_aerial.png,2_kent_ct.jpg
39-H-7,"2 MILLER ST, Somerville, MA",2 MILLER ST,2.0,1.0,0.9,1,2_miller_st_aerial.png,2_miller_st.jpg
74-E-17,"2 OLIVE SQ, Somerville, MA",2 OLIVE SQ,2.0,2.0,0.5,2,2_olive_sq_aerial.png,2_olive_sq.jpg
62-A-39,"2 PRESCOTT ST, Somerville, MA",2 PRESCOTT ST,0.0,0.0,0.0,0,2_prescott_st_aerial.png,2_prescott_st.jpg
63-A-18,"2 QUINCY ST, Somerville, MA",2 QUINCY ST,1.0,1.0,1.0,1,2_quincy_st_aerial.png,2_quincy_st.jpg
75-F-3,"2 TAUNTON ST, Somerville, MA",2 TAUNTON ST,1.0,1.0,1.0,1,2_taunton_st_aerial.png,2_taunton_st.jpg
43-G-8,"2 WESTWOOD RD, Somerville, MA",2 WESTWOOD RD,1.0,1.0,1.0,1,2_westwood_rd_aerial.png,2_westwood_rd.jpg
97-E-11,"3 BEDFORD ST, Somerville, MA",3 BEDFORD ST,0.0,0.0,0.0,0,3_bedford_st_aerial.png,3_bedford_st.jpg
93-F-10,"3 BOSTON ST, Somerville, MA",3 BOSTON ST,1.0,1.0,1.0,1,3_boston_st_aerial.png,3_boston_st.jpg
93-G-9,"3 CHESTER AVE, Somerville, MA",3 CHESTER AVE,2.0,2.0,0.5,2,3_chester_ave_aerial.png,3_chester_ave.jpg
74-A-11,"3 CHURCH ST, Somerville, MA",3 CHURCH ST,1.0,1.0,1.0,1,3_church_st_aerial.png,3_church_st.jpg
92-G-17,"3 DELL ST, Somerville, MA",3 DELL ST,1.0,1.0,1.0,1,3_dell_st_aerial.png,3_dell_st.jpg
53-D-15,"3-3 ELIOT ST, Somerville, MA",3 ELIOT ST,0.0,0.0,0.0,0,3_eliot_st_aerial.png,3-3_eliot_st.jpg
91-B-6,"3 FRANKLIN ST, Somerville, MA",3 FRANKLIN ST,1.0,1.0,1.0,1,3_franklin_st_aerial.png,3_franklin_st.jpg
80-A-8,"3 GREENVILLE CT, Somerville, MA",3 GREENVILLE CT,1.0,2.0,0.9,1,3_greenville_ct_aerial.png,3_greenville_ct.jpg
39-F-3,"3 HARRIS ST, Somerville, MA",3 HARRIS ST,0.0,2.0,0.1,0,3_harris_st_aerial.png,3_harris_st.jpg
73-E-13,"3 HOMER SQ, Somerville, MA",3 HOMER SQ,1.0,1.0,1.0,1,3_homer_sq_aerial.png,3_homer_sq.jpg
39-C-4,"3 KENT CT, Somerville, MA",3 KENT CT,1.0,1.0,1.0,1,3_kent_ct_aerial.png,3_kent_ct.jpg
62-C-9,"3 LAWSON TERR, Somerville, MA",3 LAWSON TER,2.0,1.0,0.9,1,3_lawson_ter_aerial.png,3_lawson_terr.jpg
65-A-24,"3 LEWIS ST, Somerville, MA",3 LEWIS ST,1.0,2.0,0.9,1,3_lewis_st_aerial.png,3_lewis_st.jpg
36-C-47,"3 LINDEN AVE, Somerville, MA",3 LINDEN AVE,1.0,1.0,1.0,1,3_linden_ave_aerial.png,3_linden_ave.jpg
95-A-4,"3 LINDEN ST, Somerville, MA",3 LINDEN ST,1.0,1.0,1.0,1,3_linden_st_aerial.png,3_linden_st.jpg
44-C-12,"3 MONMOUTH ST, Somerville, MA",3 MONMOUTH ST,0.0,0.0,0.0,0,3_monmouth_st_aerial.png,3_monmouth_st.jpg
45-D-7,"3 MORGAN ST, Somerville, MA",3 MORGAN ST,1.0,1.0,1.0,1,3_morgan_st_aerial.png,3_morgan_st.jpg
83-A-30,"3 OAK ST, Somerville, MA",3 OAK ST,1.0,2.0,0.9,1,3_oak_st_aerial.png,3_oak_st.jpg
74-E-23,"3 OLIVE SQ, Somerville, MA",3 OLIVE SQ,2.0,0.0,0.1,0,3_olive_sq_aerial.png,3_olive_sq.jpg
52-G-20,"3 PARK PL, Somerville, MA",3 PARK PL,2.0,2.0,0.5,2,3_park_pl_aerial.png,3_park_pl.jpg
73-A-46,"3 SUMMER ST, Somerville, MA",3 SUMMER ST,1.0,1.0,1.0,1,3_summer_st_aerial.png,3_summer_st.jpg
105-D-18,"3 WASHINGTON ST, Somerville, MA",3 WASHINGTON ST,1.0,2.0,0.9,1,3_washington_st_aerial.png,3_washington_st.jpg
43-F-15,"3 WESTWOOD RD, Somerville, MA",3 WESTWOOD RD,2.0,1.0,0.9,1,3_westwood_rd_aerial.png,3_westwood_rd.jpg
97-E-10,"3R BEDFORD ST, Somerville, MA",3R BEDFORD ST,2.0,0.0,0.1,0,3r_bedford_st_aerial.png,3r_bedford_st.jpg
76-F-19,"4 BEACON ST, Somerville, MA",4 BEACON ST,1.0,1.0,1.0,1,4_beacon_st_aerial.png,4_beacon_st.jpg
39-D-13,"4 BECKWITH CIRCLE, Somerville, MA",4 BECKWITH CIR,0.0,1.0,0.9,2,4_beckwith_cir_aerial.png,4_beckwith_circle.jpg
44-A-22,"4 BELMONT TERR, Somerville, MA",4 BELMONT TER,1.0,1.0,1.0,1,4_belmont_ter_aerial.png,4_belmont_terr.jpg
83-A-23,"4 CONCORD AVE, Somerville, MA",4 CONCORD AVE,1.0,1.0,1.0,1,4_concord_ave_aerial.png,4_concord_ave.jpg
78-E-15,"4 DANA ST, Somerville, MA",4 DANA ST,2.0,0.0,0.1,0,4_dana_st_aerial.png,4_dana_st.jpg
54-F-6,"4 ELIOT ST, Somerville, MA",4 ELIOT ST,1.0,1.0,1.0,1,4_eliot_st_aerial.png,4_eliot_st.jpg
38-A-11,"4 EVERGREEN SQ, Somerville, MA",4 EVERGREEN SQ,0.0,0.0,0.0,0,4_evergreen_sq_aerial.png,4_evergreen_sq.jpg
58-B-19,"4 FLORENCE TERR, Somerville, MA",4 FLORENCE TER,1.0,1.0,1.0,1,4_florence_ter_aerial.png,4_florence_terr.jpg
54-A-8,"4 HANSON ST, Somerville, MA",4 HANSON ST,1.0,1.0,1.0,1,4_hanson_st_aerial.png,4_hanson_st.jpg
73-E-14,"4 HOMER SQ, Somerville, MA",4 HOMER SQ,2.0,1.0,0.9,1,4_homer_sq_aerial.png,4_homer_sq.jpg
83-C-18,"4 HOUGHTON ST, Somerville, MA",4 HOUGHTON ST,2.0,0.0,0.1,0,4_houghton_st_aerial.png,4_houghton_st.jpg
74-E-18,"4 LAKE ST, Somerville, MA",4 LAKE ST,1.0,2.0,0.9,1,4_lake_st_aerial.png,4_lake_st.jpg
62-C-8,"4 LAWSON TERR, Somerville, MA",4 LAWSON TER,2.0,1.0,0.9,1,4_lawson_ter_aerial.png,4_lawson_terr.jpg
74-E-22,"4 OLIVE SQ, Somerville, MA",4 OLIVE SQ,2.0,2.0,0.5,2,4_olive_sq_aerial.png,4_olive_sq.jpg
52-D-3,"4 OSGOOD ST, Somerville, MA",4 OSGOOD ST,1.0,1.0,1.0,1,4_osgood_st_aerial.png,4_osgood_st.jpg
90-H-19,"4 OTIS ST, Somerville, MA",4 OTIS ST,1.0,1.0,1.0,1,4_otis_st_aerial.png,4_otis_st.jpg
52-G-29,"4 PARK PL, Somerville, MA",4 PARK PL,2.0,2.0,0.5,2,4_park_pl_aerial.png,4_park_pl.jpg
105-D-5,"4 PEARL ST, Somerville, MA",4 PEARL ST,1.0,1.0,1.0,1,4_pearl_st_aerial.png,4_pearl_st.jpg
63-A-17,"4 QUINCY ST, Somerville, MA",4 QUINCY ST,0.0,0.0,0.0,0,4_quincy_st_aerial.png,4_quincy_st.jpg
73-C-7,"4 SANBORN AVE, Somerville, MA",4 SANBORN AVE,0.0,0.0,0.0,0,4_sanborn_ave_aerial.png,4_sanborn_ave.jpg
66-C-1,"4 WALDO AVE, Somerville, MA",4 WALDO AVE,1.0,2.0,0.9,1,4_waldo_ave_aerial.png,4_waldo_ave.jpg
75-C-24,"1-3 CLARK ST, Somerville, MA",43468 CLARK ST,1.0,1.0,1.0,1,1-3_clark_st_aerial.png,1-3_clark_st.jpg
52-G-1,"1-3 LAUREL TERR, Somerville, MA",43468 LAUREL TER,1.0,1.0,1.0,1,1-3_laurel_terr_aerial.png,1-3_laurel_terr.jpg
65-E-8,"1-4 WYATT CIR, Somerville, MA",43469 WYATT CIR,1.0,1.0,1.0,1,1-4_wyatt_cir_aerial.png,1-4_wyatt_cir.jpg
83-F-1,"2-4 BOLTON ST, Somerville, MA",43500 BOLTON ST,1.0,2.0,0.9,1,2-4_bolton_st_aerial.png,2-4_bolton_st.jpg
90-F-5,"2-4 BROOK ST, Somerville, MA",43500 BROOK ST,1.0,1.0,1.0,1,2-4_brook_st_aerial.png,4_brook_st.jpg
28-J-13,"2-4 HIGHLAND RD, Somerville, MA",43500 HIGHLAND RD,1.0,1.0,1.0,1,2-4_highland_rd_aerial.png,2-4_highland_rd.jpg
54-G-1,"3-7-9 HANSON ST, Somerville, MA",43533 HANSON ST,2.0,1.0,0.9,1,3-9_hanson_st_aerial.png,3-7-9_hanson_st.jpg
30-A-15,"4-6 BANKS ST, Somerville, MA",43561 BANKS ST,2.0,0.0,0.1,0,4-6_banks_st_aerial.png,4-6_banks_st.jpg
38-A-15,"5-7 ARNOLD AVE, Somerville, MA",5 ARNOLD AVE,2.0,1.0,0.9,1,5_arnold_ave_aerial.png,5-7_arnold_ave.jpg
44-A-32,"5 BELMONT SQ, Somerville, MA",5 BELMONT SQ,2.0,2.0,0.5,2,5_belmont_sq_aerial.png,5_belmont_sq.jpg
51-D-21,"5 BERKELEY ST, Somerville, MA",5 BERKELEY ST,0.0,0.0,0.0,0,5_berkeley_st_aerial.png,5_berkeley_st.jpg
81-A-32,"5 COLUMBUS AVE, Somerville, MA",5 COLUMBUS AVE,1.0,1.0,1.0,1,5_columbus_ave_aerial.png,5_columbus_ave.jpg
66-D-7,"5 COONEY ST, Somerville, MA",5 COONEY ST,2.0,1.0,0.9,1,5_cooney_st_aerial.png,5_cooney_st.jpg
92-G-18,"5 DELL ST, Somerville, MA",5 DELL ST,1.0,1.0,1.0,1,5_dell_st_aerial.png,5_dell_st.jpg
65-E-17,"5 DIMICK ST, Somerville, MA",5 DIMICK ST,0.0,2.0,0.1,0,5_dimick_st_aerial.png,5_dimick_st.jpg
53-D-14,"5 ELIOT ST, Somerville, MA",5 ELIOT ST,1.0,1.0,1.0,1,5_eliot_st_aerial.png,5_eliot_st.jpg
90-J-8,"5 ELLSWORTH ST, Somerville, MA",5 ELLSWORTH ST,1.0,1.0,1.0,1,5_ellsworth_st_aerial.png,5_ellsworth_st.jpg
38-A-76,"5 ELM ST, Somerville, MA",5 ELM ST,0.0,0.0,0.0,0,5_elm_st_aerial.png,5_elm_st.jpg
90-H-25,"5 EVERETT AVE, Somerville, MA",5 EVERETT AVE,1.0,1.0,1.0,1,5_everett_ave_aerial.png,5_everett_ave.jpg
92-B-23,"5 FLINT AVE, Somerville, MA",5 FLINT AVE,1.0,1.0,1.0,1,5_flint_ave_aerial.png,5_flint_ave.jpg
92-G-2,"5 FOUNTAIN AVE, Somerville, MA",5 FOUNTAIN AVE,1.0,1.0,1.0,1,5_fountain_ave_aerial.png,5_fountain_ave.jpg
75-C-3,"5 FREMONT AVE, Somerville, MA",5 FREMONT AVE,0.0,2.0,0.1,0,5_fremont_ave_aerial.png,5_fremont_ave.jpg
13-F-12,"5 GLENDALE AVE, Somerville, MA",5 GLENDALE AVE,1.0,1.0,1.0,1,5_glendale_ave_aerial.png,5_glendale_ave.jpg
39-F-6,"5 HARRIS ST, Somerville, MA",5 HARRIS ST,0.0,0.0,0.0,0,5_harris_st_aerial.png,5_harris_st.jpg
51-D-36,"5 HERSEY ST, Somerville, MA",5 HERSEY ST,2.0,2.0,0.5,2,5_hersey_st_aerial.png,5_hersey_st.jpg
52-H-25,"5 LAUREL AVE, Somerville, MA",5 LAUREL AVE,2.0,2.0,0.5,2,5_laurel_ave_aerial.png,5_laurel_ave.jpg
76-B-2,"5 LEON ST, Somerville, MA",5 LEON ST,1.0,1.0,1.0,1,5_leon_st_aerial.png,5_leon_st.jpg
65-A-2,"5 MAGNUS AVE, Somerville, MA",5 MAGNUS AVE,2.0,1.0,0.9,1,5_magnus_ave_aerial.png,5_magnus_ave.jpg
45-D-8,"5 MORGAN ST, Somerville, MA",5 MORGAN ST,1.0,1.0,1.0,1,5_morgan_st_aerial.png,5_morgan_st.jpg
40-H-14,"5 NORWOOD AVE, Somerville, MA",5 NORWOOD AVE,2.0,1.0,0.9,1,5_norwood_ave_aerial.png,5_norwood_ave.jpg
36-C-35,"5 PARKER PL, Somerville, MA",5 PARKER PL,1.0,1.0,1.0,1,5_parker_pl_aerial.png,5_parker_pl.jpg
80-B-9,"5 PROSPECT HILL AVE, Somerville, MA",5 PROSPECT HILL AVE,1.0,1.0,1.0,1,5_prospect_hill_ave_aerial.png,5_prospect_hill_ave.jpg
62-C-2,"5-11 PUTNAM ST, Somerville, MA",5 PUTNAM ST,1.0,1.0,1.0,1,5_putnam_st_aerial.png,5-11_putnam_st.jpg
65-B-3,"5 ROSE ST, Somerville, MA",5 ROSE ST,1.0,2.0,0.9,1,5_rose_st_aerial.png,5_rose_st.jpg
81-B-21,"5 ROSSMORE ST, Somerville, MA",5 ROSSMORE ST,1.0,1.0,1.0,1,5_rossmore_st_aerial.png,5_rossmore_st.jpg
73-E-33,"5 STONE PL, Somerville, MA",5 STONE PL,1.0,2.0,0.9,1,5_stone_pl_aerial.png,5_stone_pl.jpg
53-C-12,"5 VILLAGE ST, Somerville, MA",5 VILLAGE ST,1.0,1.0,1.0,1,5_village_st_aerial.png,5_village_st.jpg
73-A-47,"5 VINAL AVE, Somerville, MA",5 VINAL AVE,1.0,1.0,1.0,1,5_vinal_ave_aerial.png,5_vinal_ave.jpg
78-E-19,"5 WESLEY ST, Somerville, MA",5 WESLEY ST,2.0,2.0,0.5,2,5_wesley_st_aerial.png,5_wesley_st.jpg
65-D-1,"5 WYATT CIR, Somerville, MA",5 WYATT CIR,2.0,2.0,0.5,2,5_wyatt_cir_aerial.png,5_wyatt_cir.jpg
73-A-8,"6 ALDERSEY ST, Somerville, MA",6 ALDERSEY ST,2.0,1.0,0.9,1,6_aldersey_st_aerial.png,6_aldersey_st.jpg
93-D-3,"6 ALSTON ST, Somerville, MA",6 ALSTON ST,1.0,1.0,1.0,1,6_alston_st_aerial.png,6_alston_st.jpg
97-F-9,"6 BEDFORD ST, Somerville, MA",6 BEDFORD ST,1.0,1.0,1.0,1,6_bedford_st_aerial.png,6_bedford_st.jpg
38-E-45,"6 BELMONT ST, Somerville, MA",6 BELMONT ST,1.0,2.0,0.9,1,6_belmont_st_aerial.png,6_belmont_st.jpg
80-G-10,"6 BIGELOW ST, Somerville, MA",6 BIGELOW ST,1.0,1.0,1.0,1,6_bigelow_st_aerial.png,6_bigelow_st.jpg
93-G-7,"6 CHESTER AVE, Somerville, MA",6 CHESTER AVE,2.0,1.0,0.9,1,6_chester_ave_aerial.png,6_chester_ave.jpg
81-E-6,"6 COLUMBUS AVE, Somerville, MA",6 COLUMBUS AVE,1.0,1.0,1.0,1,6_columbus_ave_aerial.png,6_columbus_ave.jpg
83-A-22,"6 CONCORD AVE, Somerville, MA",6 CONCORD AVE,1.0,1.0,1.0,1,6_concord_ave_aerial.png,6_concord_ave.jpg
91-B-34,"6 CUTTER ST, Somerville, MA",6 CUTTER ST,1.0,1.0,1.0,1,6_cutter_st_aerial.png,6_cutter_st.jpg
78-E-14,"6 DANA ST, Somerville, MA",6 DANA ST,1.0,1.0,1.0,1,6_dana_st_aerial.png,6_dana_st.jpg
76-D-3,"6 DICKINSON ST, Somerville, MA",6 DICKINSON ST,1.0,1.0,1.0,1,6_dickinson_st_aerial.png,6_dickinson_st.jpg
54-D-19,"6 DURHAM ST, Somerville, MA",6 DURHAM ST,1.0,1.0,1.0,1,6_durham_st_aerial.png,6_durham_st.jpg
54-F-5,"6 ELIOT ST, Somerville, MA",6 ELIOT ST,1.0,1.0,1.0,1,6_eliot_st_aerial.png,6_eliot_st.jpg
90-F-16,"6 ELLSWORTH ST, Somerville, MA",6 ELLSWORTH ST,1.0,2.0,0.9,1,6_ellsworth_st_aerial.png,6_ellsworth_st.jpg
92-F-27,"6 FOUNTAIN AVE, Somerville, MA",6 FOUNTAIN AVE,1.0,2.0,0.9,1,6_fountain_ave_aerial.png,6_fountain_ave.jpg
91-C-13,"6 FRANKLIN ST, Somerville, MA",6 FRANKLIN ST,1.0,1.0,1.0,1,6_franklin_st_aerial.png,6_franklin_st.jpg
73-A-21,"6 GILES PARK, Somerville, MA",6 GILES PARK,0.0,0.0,0.0,0,6_giles_park_aerial.png,6_giles_park.jpg
78-G-30,"6 GILMAN TERR, Somerville, MA",6 GILMAN TER,1.0,1.0,1.0,1,6_gilman_ter_aerial.png,6_gilman_terr.jpg
72-E-9,"6 GRAND VIEW AVE, Somerville, MA",6 GRAND VIEW AVE,2.0,1.0,0.9,1,6_grand_view_ave_aerial.png,6_grand_view_ave.jpg
80-A-9,"6 GREENVILLE CT, Somerville, MA",6 GREENVILLE CT,1.0,1.0,1.0,1,6_greenville_ct_aerial.png,6_greenville_ct.jpg
37-C-30,"6 GREENWOOD TERR, Somerville, MA",6 GREENWOOD TER,0.0,2.0,0.1,0,6_greenwood_ter_aerial.png,6_greenwood_terr.jpg
76-B-9,"6 HAMMOND ST, Somerville, MA",6 HAMMOND ST,1.0,1.0,1.0,1,6_hammond_st_aerial.png,6_hammond_st.jpg
54-A-7,"6 HANSON ST, Somerville, MA",6 HANSON ST,2.0,1.0,0.9,1,6_hanson_st_aerial.png,6_hanson_st.jpg
72-B-25,"6 HIGHLAND AVE, Somerville, MA",6 HIGHLAND AVE,1.0,2.0,0.9,1,6_highland_ave_aerial.png,6_highland_ave.jpg
83-C-16,"6 HOUGHTON ST, Somerville, MA",6 HOUGHTON ST,2.0,0.0,0.1,0,6_houghton_st_aerial.png,6_houghton_st.jpg
74-B-7,"6 KILBY ST, Somerville, MA",6 KILBY ST,2.0,1.0,0.9,1,6_kilby_st_aerial.png,6_kilby_st.jpg
75-F-5,"6 MARION ST, Somerville, MA",6 MARION ST,1.0,1.0,1.0,1,6_marion_st_aerial.png,6_marion_st.jpg
54-B-15,"6 NEVADA AVE, Somerville, MA",6 NEVADA AVE,1.0,1.0,1.0,1,6_nevada_ave_aerial.png,6_nevada_ave.jpg
83-F-4,"6 OAK ST, Somerville, MA",6 OAK ST,2.0,1.0,0.9,1,6_oak_st_aerial.png,6_oak_st.jpg
52-D-2,"6 OSGOOD ST, Somerville, MA",6 OSGOOD ST,1.0,1.0,1.0,1,6_osgood_st_aerial.png,6_osgood_st.jpg
51-D-14,"6 OXFORD ST, Somerville, MA",6 OXFORD ST,1.0,1.0,1.0,1,6_oxford_st_aerial.png,6_oxford_st.jpg
52-G-28,"6 PARK PL, Somerville, MA",6 PARK PL,1.0,1.0,1.0,1,6_park_pl_aerial.png,6_park_pl.jpg
62-B-52,"6 PUTNAM ST, Somerville, MA",6 PUTNAM ST,1.0,1.0,1.0,1,6_putnam_st_aerial.png,6_putnam_st.jpg
63-A-16,"6 QUINCY ST, Somerville, MA",6 QUINCY ST,0.0,0.0,0.0,0,6_quincy_st_aerial.png,6_quincy_st.jpg
71-B-39,"6 SARGENT AVE, Somerville, MA",6 SARGENT AVE,1.0,1.0,1.0,1,6_sargent_ave_aerial.png,6_sargent_ave.jpg
54-C-33,"6 SKEHAN ST, Somerville, MA",6 SKEHAN ST,2.0,1.0,0.9,1,6_skehan_st_aerial.png,6_skehan_st.jpg
