index,ADDR_NUM,FULL_STR,MBL,ADDRESS_FOR_STREET_VIEW,AERIAL_Driveway,GSV_Driveway,final_label,aerial_filename,gsv_filename
8495,1,ESSEX ST,50-B-12,"1  ESSEX ST, SOMERVILLE, MA",2,1,0.9,1_ESSEX_ST_aerial.png,1_ESSEX_ST.jpg
8524,1,PACKARD AVE,11-E-29,"1  PACKARD AVE, SOMERVILLE, MA",2,1,0.9,1_PACKARD_AVE_aerial.png,1_PACKARD_AVE.jpg
8537,1,THURSTON ST,50-A-9,"1  THURSTON ST, SOMERVILLE, MA",1,2,0.9,1_THURSTON_ST_aerial.png,1_THURSTON_ST.jpg
8545,1,WEBSTER ST,91-B-14,"1  WEBSTER ST, SOMERVILLE, MA",1,1,1,1_WEBSTER_ST_aerial.png,1_WEBSTER_ST.jpg
8573,3,AVON ST,51-E-30,"3  AVON ST, SOMERVILLE, MA",1,1,1,3_AVON_ST_aerial.png,3_AVON_ST.jpg
8584,3,DANE ST,53-B-8,"3  DANE ST, SOMERVILLE, MA",1,2,0.9,3_DANE_ST_aerial.png,3_DANE_ST.jpg
9122,4,LINCOLN PL,103-A-16,"4  LINCOLN PL, SOMERVILLE, MA",2,1,0.9,4_LINCOLN_PL_aerial.png,4_LINCOLN_PL.jpg
8027,5,CHESTER AVE,93-G-8,"5  CHESTER AVE, SOMERVILLE, MA",1,1,1,5_CHESTER_AVE_aerial.png,5_CHESTER_AVE.jpg
8041,5,DOUGLAS AVE,47-G-17,"5  DOUGLAS AVE, SOMERVILLE, MA",2,2,0.5,5_DOUGLAS_AVE_aerial.png,5_DOUGLAS_AVE.jpg
8095,5,MINER ST,49-H-6,"5  MINER ST, SOMERVILLE, MA",1,1,1,5_MINER_ST_aerial.png,5_MINER_ST.jpg
8101,5,MUNROE ST,80-C-6,"5  MUNROE ST, SOMERVILLE, MA",1,1,1,5_MUNROE_ST_aerial.png,5_MUNROE_ST.jpg
8152,5,WINDSOR RD,29-L-14,"5  WINDSOR RD, SOMERVILLE, MA",1,1,1,5_WINDSOR_RD_aerial.png,5_WINDSOR_RD.jpg
12,5,ALBION ST,42-B-25,"5 ALBION ST, SOMERVILLE, MA",1,1,1,5_ALBION_ST_aerial.png,5_ALBION_ST.jpg
6464,6,FARRAGUT AVE,9-A-34,"6  FARRAGUT AVE, SOMERVILLE, MA",2,1,0.9,6_FARRAGUT_AVE_aerial.png,6_FARRAGUT_AVE.jpg
6478,6,GREENVILLE ST,80-B-26,"6  GREENVILLE ST, SOMERVILLE, MA",2,0,0.1,6_GREENVILLE_ST_aerial.png,6_GREENVILLE_ST.jpg
6488,6,HILLSIDE CIR,38-A-47,"6  HILLSIDE CIR, SOMERVILLE, MA",2,2,0.5,6_HILLSIDE_CIR_aerial.png,6_HILLSIDE_CIR.jpg
631,7,BARTON ST,8-H-13,"7  BARTON ST, SOMERVILLE, MA",1,1,1,7_BARTON_ST_aerial.png,7_BARTON_ST.jpg
633,7,BECKWITH CIRCLE,39-D-12,"7  BECKWITH CIRCLE, SOMERVILLE, MA",1,2,0.9,7_BECKWITH_CIRCLE_aerial.png,7_BECKWITH_CIRCLE.jpg
647,7,BROOK ST,90-E-11,"7  BROOK ST, SOMERVILLE, MA",1,1,1,7_BROOK_ST_aerial.png,7_BROOK_ST.jpg
651,7,CAMPBELL PK,17-G-12,"7  CAMPBELL PK, SOMERVILLE, MA",0,0,0,7_CAMPBELL_PK_aerial.png,7_CAMPBELL_PK.jpg
7627,8,BEACON TERR,31-C-32,"8  BEACON TERR, SOMERVILLE, MA",1,2,0.9,8_BEACON_TERR_aerial.png,8_BEACON_TERR.jpg
7629,8,BELMONT PL,44-A-48,"8  BELMONT PL, SOMERVILLE, MA",2,2,0.5,8_BELMONT_PL_aerial.png,8_BELMONT_PL.jpg
7654,8,CLAREMON ST,13-C-24,"8  CLAREMON ST, SOMERVILLE, MA",2,0,0.1,8_CLAREMON_ST_aerial.png,8_CLAREMON_ST.jpg
7669,8,DRESDEN CIR,25-A-13,"8  DRESDEN CIR, SOMERVILLE, MA",2,2,0.5,8_DRESDEN_CIR_aerial.png,8_DRESDEN_CIR.jpg
7682,8,FAIRVIEW TERR,48-C-29,"8  FAIRVIEW TERR, SOMERVILLE, MA",1,1,1,8_FAIRVIEW_TERR_aerial.png,8_FAIRVIEW_TERR.jpg
7693,8,GILMAN ST,92-J-10,"8  GILMAN ST, SOMERVILLE, MA",1,2,0.9,8_GILMAN_ST_aerial.png,8_GILMAN_ST.jpg
7706,8,HAWTHORNE ST,25-D-16,"8  HAWTHORNE ST, SOMERVILLE, MA",2,2,0.5,8_HAWTHORNE_ST_aerial.png,8_HAWTHORNE_ST.jpg
7713,8,HOUGHTON ST,83-C-15,"8  HOUGHTON ST, SOMERVILLE, MA",2,1,0.9,8_HOUGHTON_ST_aerial.png,8_HOUGHTON_ST.jpg
7751,8,NEVADA AVE,54-B-14,"8  NEVADA AVE, SOMERVILLE, MA",1,1,1,8_NEVADA_AVE_aerial.png,8_NEVADA_AVE.jpg
7768,8,PLEASANT AVE,72-D-9,"8  PLEASANT AVE, SOMERVILLE, MA",1,1,1,8_PLEASANT_AVE_aerial.png,8_PLEASANT_AVE.jpg
7810,8,WINDSOR RD,29-K-10,"8  WINDSOR RD, SOMERVILLE, MA",2,1,0.9,8_WINDSOR_RD_aerial.png,8_WINDSOR_RD.jpg
901,9,CHESTER AVE,93-G-4,"9  CHESTER AVE, SOMERVILLE, MA",1,1,1,9_CHESTER_AVE_aerial.png,9_CHESTER_AVE.jpg
910,9,CREST HILL RD,55-D-11,"9  CREST HILL RD, SOMERVILLE, MA",1,1,1,9_CREST_HILL_RD_aerial.png,9_CREST_HILL_RD.jpg
912,9,CROSS ST,90-C-8,"9  CROSS ST, SOMERVILLE, MA",2,0,0.1,9_CROSS_ST_aerial.png,9_CROSS_ST.jpg
962,9,HARRISON ST,45-C-7,"9  HARRISON ST, SOMERVILLE, MA",2,1,0.9,9_HARRISON_ST_aerial.png,9_HARRISON_ST.jpg
965,9,HERSEY ST,51-D-1,"9  HERSEY ST, SOMERVILLE, MA",2,2,0.5,9_HERSEY_ST_aerial.png,9_HERSEY_ST.jpg
969,9,HOLYOKE RD,31-D-8,"9  HOLYOKE RD, SOMERVILLE, MA",2,0,0.1,9_HOLYOKE_RD_aerial.png,9_HOLYOKE_RD.jpg
1006,9,MELVILLE RD,55-C-13,"9  MELVILLE RD, SOMERVILLE, MA",1,1,1,9_MELVILLE_RD_aerial.png,9_MELVILLE_RD.jpg
1027,9,OLIVE AVE,36-C-3,"9  OLIVE AVE, SOMERVILLE, MA",1,2,0.9,9_OLIVE_AVE_aerial.png,9_OLIVE_AVE.jpg
1032,9,PARKDALE ST,65-C-6,"9  PARKDALE ST, SOMERVILLE, MA",2,2,0.5,9_PARKDALE_ST_aerial.png,9_PARKDALE_ST.jpg
1044,9,PINCKNEY ST,105-C-22,"9  PINCKNEY ST, SOMERVILLE, MA",1,1,1,9_PINCKNEY_ST_aerial.png,9_PINCKNEY_ST.jpg
1049,9,PRESCOTT ST,62-B-3,"9  PRESCOTT ST, SOMERVILLE, MA",1,1,1,9_PRESCOTT_ST_aerial.png,9_PRESCOTT_ST.jpg
1061,9,SANBORN AVE,73-B-12,"9  SANBORN AVE, SOMERVILLE, MA",1,1,1,9_SANBORN_AVE_aerial.png,9_SANBORN_AVE.jpg
1064,9,SELLON PL,60-D-12,"9  SELLON PL, SOMERVILLE, MA",2,0,0.1,9_SELLON_PL_aerial.png,9_SELLON_PL.jpg
1071,9,SPRING ST,44-H-1,"9  SPRING ST, SOMERVILLE, MA",1,1,1,9_SPRING_ST_aerial.png,9_SPRING_ST.jpg
1076,9,SUMMIT ST,20-E-11,"9  SUMMIT ST, SOMERVILLE, MA",1,1,1,9_SUMMIT_ST_aerial.png,9_SUMMIT_ST.jpg
1097,9,WARNER ST,19-A-17,"9  WARNER ST, SOMERVILLE, MA",2,0,0.1,9_WARNER_ST_aerial.png,9_WARNER_ST.jpg
35,9,ALDERSEY ST,72-C-12,"9 ALDERSEY ST, SOMERVILLE, MA",1,1,1,9_ALDERSEY_ST_aerial.png,9_ALDERSEY_ST.jpg
361,10,ARLINGTON ST,91-E-7,"10  ARLINGTON ST, SOMERVILLE, MA",1,2,0.9,10_ARLINGTON_ST_aerial.png,10_ARLINGTON_ST.jpg
367,10,AVON ST,51-F-21,"10  AVON ST, SOMERVILLE, MA",1,2,0.9,10_AVON_ST_aerial.png,10_AVON_ST.jpg
369,10,BARTLETT ST,41-D-21,"10  BARTLETT ST, SOMERVILLE, MA",1,1,1,10_BARTLETT_ST_aerial.png,10_BARTLETT_ST.jpg
396,10,CENTRAL ST,44-F-8,"10  CENTRAL ST, SOMERVILLE, MA",0,0,0,10_CENTRAL_ST_aerial.png,10_CENTRAL_ST.jpg
532,10,NEVADA AVE,54-B-13,"10  NEVADA AVE, SOMERVILLE, MA",1,1,1,10_NEVADA_AVE_aerial.png,10_NEVADA_AVE.jpg
545,10,PEARL ST PL,90-G-41,"10  PEARL ST PL, SOMERVILLE, MA",0,0,0,10_PEARL_ST_PL_aerial.png,10_PEARL_ST_PL.jpg
599,10,WARWICK ST,33-G-24,"10  WARWICK ST, SOMERVILLE, MA",1,1,1,10_WARWICK_ST_aerial.png,10_WARWICK_ST.jpg
602,10,WEBSTER ST,91-H-8,"10  WEBSTER ST, SOMERVILLE, MA",2,0,0.1,10_WEBSTER_ST_aerial.png,10_WEBSTER_ST.jpg
612,10,WINSLOW AVE,20-A-16,"10  WINSLOW AVE, SOMERVILLE, MA",1,1,1,10_WINSLOW_AVE_aerial.png,10_WINSLOW_AVE.jpg
1170,11,CROCKER ST,35-C-7,"11  CROCKER ST, SOMERVILLE, MA",0,0,0,11_CROCKER_ST_aerial.png,11_CROCKER_ST.jpg
1199,11,FREMONT AVE,75-C-5,"11  FREMONT AVE, SOMERVILLE, MA",0,0,0,11_FREMONT_AVE_aerial.png,11_FREMONT_AVE.jpg
1232,11,IRVING ST,16-B-3,"11  IRVING ST, SOMERVILLE, MA",1,1,1,11_IRVING_ST_aerial.png,11_IRVING_ST.jpg
1245,11,LEONARD ST,15-D-26,"11  LEONARD ST, SOMERVILLE, MA",0,1,0.9,11_LEONARD_ST_aerial.png,11_LEONARD_ST.jpg
1253,11,LINDEN ST,95-A-7,"11  LINDEN ST, SOMERVILLE, MA",1,0,0.9,11_LINDEN_ST_aerial.png,11_LINDEN_ST.jpg
1256,11,MACARTHUR ST,90-A-4,"11  MACARTHUR ST, SOMERVILLE, MA",1,1,1,11_MACARTHUR_ST_aerial.png,11_MACARTHUR_ST.jpg
1280,11,OAKLAND AVE,59-C-14,"11  OAKLAND AVE, SOMERVILLE, MA",1,1,1,11_OAKLAND_AVE_aerial.png,11_OAKLAND_AVE.jpg
1305,11,ROGERS AVE,28-C-21,"11  ROGERS AVE, SOMERVILLE, MA",1,1,1,11_ROGERS_AVE_aerial.png,11_ROGERS_AVE.jpg
1308,11,SANBORN AVE,73-B-13,"11  SANBORN AVE, SOMERVILLE, MA",0,0,0,11_SANBORN_AVE_aerial.png,11_SANBORN_AVE.jpg
43,11,ACADIA PK,31-C-38,"11 ACADIA PK, SOMERVILLE, MA",0,1,0.9,11_ACADIA_PK_aerial.png,11_ACADIA_PK.jpg
2637,12,DARTMOUTH ST,60-A-11,"12  DARTMOUTH ST, SOMERVILLE, MA",1,1,1,12_DARTMOUTH_ST_aerial.png,12_DARTMOUTH_ST.jpg
2646,12,ELLSWORTH ST,90-F-14,"12  ELLSWORTH ST, SOMERVILLE, MA",1,1,1,12_ELLSWORTH_ST_aerial.png,12_ELLSWORTH_ST.jpg
2653,12,FAIRMOUNT AVE,8-D-3,"12  FAIRMOUNT AVE, SOMERVILLE, MA",0,1,0.9,12_FAIRMOUNT_AVE_aerial.png,12_FAIRMOUNT_AVE.jpg
2770,12,SPENCER AVE,29-E-15,"12  SPENCER AVE, SOMERVILLE, MA",2,0,0.1,12_SPENCER_AVE_aerial.png,12_SPENCER_AVE.jpg
2777,12,SUNSET RD,7-F-12,"12  SUNSET RD, SOMERVILLE, MA",1,1,1,12_SUNSET_RD_aerial.png,12_SUNSET_RD.jpg
1579,13,CLARENDON AVE,9-C-6,"13  CLARENDON AVE, SOMERVILLE, MA",1,1,1,13_CLARENDON_AVE_aerial.png,13_CLARENDON_AVE.jpg
1632,13,LINCOLN ST,91-D-17,"13  LINCOLN ST, SOMERVILLE, MA",1,1,1,13_LINCOLN_ST_aerial.png,13_LINCOLN_ST.jpg
1661,13,SEWALL ST,70-A-15,"13  SEWALL ST, SOMERVILLE, MA",1,1,1,13_SEWALL_ST_aerial.png,13_SEWALL_ST.jpg
1662,13,SKEHAN ST,54-B-6,"13  SKEHAN ST, SOMERVILLE, MA",0,0,0,13_SKEHAN_ST_aerial.png,13_SKEHAN_ST.jpg
7415,14,CEDAR ST,31-A-8,"14  CEDAR ST, SOMERVILLE, MA",1,1,1,14_CEDAR_ST_aerial.png,14_CEDAR_ST.jpg
7508,14,LANGMAID AVE,58-D-12,"14  LANGMAID AVE, SOMERVILLE, MA",1,1,1,14_LANGMAID_AVE_aerial.png,14_LANGMAID_AVE.jpg
7526,14,MANSFIELD ST,81-B-16,"14  MANSFIELD ST, SOMERVILLE, MA",2,2,0.5,14_MANSFIELD_ST_aerial.png,14_MANSFIELD_ST.jpg
6684,15,BOND ST,58-E-15,"15  BOND ST, SOMERVILLE, MA",1,1,1,15_BOND_ST_aerial.png,15_BOND_ST.jpg
6717,15,COTTAGE AVE,26-B-9,"15  COTTAGE AVE, SOMERVILLE, MA",0,1,0.9,15_COTTAGE_AVE_aerial.png,15_COTTAGE_AVE.jpg
6750,15,GORHAM ST,17-A-7,"15  GORHAM ST, SOMERVILLE, MA",1,1,1,15_GORHAM_ST_aerial.png,15_GORHAM_ST.jpg
6849,15,QUINCY ST,63-B-25,"15  QUINCY ST, SOMERVILLE, MA",0,0,0,15_QUINCY_ST_aerial.png,15_QUINCY_ST.jpg
6866,15,ST JAMES AVE,25-E-22,"15  ST JAMES AVE, SOMERVILLE, MA",1,1,1,15_ST_JAMES_AVE_aerial.png,15_ST_JAMES_AVE.jpg
1687,16,BAILEY ST,7-K-5,"16  BAILEY ST, SOMERVILLE, MA",0,1,0.9,16_BAILEY_ST_aerial.png,16_BAILEY_ST.jpg
1689,16,BARTLETT ST,41-D-19,"16  BARTLETT ST, SOMERVILLE, MA",1,1,1,16_BARTLETT_ST_aerial.png,16_BARTLETT_ST.jpg
1700,16,BUCKINGHAM ST,66-C-6,"16  BUCKINGHAM ST, SOMERVILLE, MA",2,0,0.1,16_BUCKINGHAM_ST_aerial.png,16_BUCKINGHAM_ST.jpg
